id;titre;message;date_envoi;lu;client_id
b2984edb-7f0d-4234-a664-8363741d606d;communauté étudiante;../fake-data/blob/hipster.txt;2026-09-22T00:43:49;false;06bb1162-daaa-4428-bd85-0077cf1a8af7
04380855-90ec-487d-8f2c-f0861e42e1cf;propre autrefois presque;../fake-data/blob/hipster.txt;2026-09-22T01:36:47;false;9b24f7ca-d1d0-4126-a5ce-2f9c0e61d482
2ccf0cb4-65d9-4f6c-9841-a4956e0eea82;bzzz après;../fake-data/blob/hipster.txt;2026-09-21T18:16:44;true;7299d01f-5506-402b-8acd-8ba857288886
15563ca3-3383-4467-99cf-b58b3e7789b0;gestionnaire vu que;../fake-data/blob/hipster.txt;2026-09-21T20:21:41;true;531f549f-dd5e-4a33-a840-5323d1ede974
b630031d-6ef4-40bc-9d71-b62546fb2eec;personnel;../fake-data/blob/hipster.txt;2026-09-21T19:15:49;false;52630815-09b9-4640-b920-94d5bf285feb
983b4ff5-cbb9-4af8-8b6b-6f4a99c9accb;au-dehors en dedans de revenir;../fake-data/blob/hipster.txt;2026-09-21T23:38:08;true;71493c5a-1aad-4882-a3bc-f9d03a096195
437e0efc-6c94-4243-9b6c-a01716496302;de manière à ce que liquider;../fake-data/blob/hipster.txt;2026-09-21T15:12:26;false;9188d9bf-b7c1-4404-bf9f-69e243a88f7f
c41f747e-64da-4bea-b4c7-b398c4663a96;chef de cuisine oups tant que;../fake-data/blob/hipster.txt;2026-09-22T06:57:59;true;d9eb52ff-c8ed-4592-af08-db22ba168a30
6ca6e9e2-1434-44e0-a83c-8e6aad87e1aa;vanter;../fake-data/blob/hipster.txt;2026-09-21T20:24:09;false;42afb449-5dff-487a-bffc-d51ea7edc9c6
372edc6f-996c-4e92-83e8-f643106f2a33;d'après suffisamment assez;../fake-data/blob/hipster.txt;2026-09-22T04:22:17;true;b66c3398-957e-4b38-be4b-cc62554f24fd
f42b47ab-0209-4b9d-b775-35b221d232c4;dissoudre périr;../fake-data/blob/hipster.txt;2026-09-21T23:46:01;true;962b5740-6367-4020-9d27-5c13ea1597ba
bd7b5ae0-10d7-44db-b8d0-0b5cb8c038f9;vide conseil d’administration dessous;../fake-data/blob/hipster.txt;2026-09-21T17:44:37;true;b3b024a1-10d1-4809-93cc-ab751ac405cf
93d52e50-9e2a-4695-9361-c6afab8598f0;direction;../fake-data/blob/hipster.txt;2026-09-22T08:55:55;false;9a4a54e3-de0c-465f-9c02-25f0cd9fe835
cc9cc595-0834-43ac-b27e-5184f3fd6a04;à défaut de vroum ha;../fake-data/blob/hipster.txt;2026-09-22T01:49:29;false;c108b4db-d8ba-4d29-bf06-5e7930ddf944
8dffa5d9-75d6-482f-99cb-ea560f82fa00;foule malade;../fake-data/blob/hipster.txt;2026-09-21T18:32:05;false;025296bb-b987-43dc-9bf4-a169849b4008
9732ef16-a4f5-42ea-ab56-db97d9fa8cb5;électorat;../fake-data/blob/hipster.txt;2026-09-21T16:42:40;true;e581f329-bea6-4aac-9c64-afd12ea2327d
b51db575-3a63-43ab-82a2-96288e74ebda;conseil d’administration sitôt;../fake-data/blob/hipster.txt;2026-09-21T19:16:17;false;4a957899-dde9-49b6-baa5-5fc559dcfa7f
d42ed0c2-8213-4149-ab62-2fbd437779f7;sombre financer joliment;../fake-data/blob/hipster.txt;2026-09-21T22:51:01;true;3777e12b-1200-4daf-ac21-a61790537d02
