id;code;qr_code;date_generation;date_expiration;statut;demande_id
59ea0c43-e08d-4cad-90fd-a4e4a704be86;si;../fake-data/blob/hipster.txt;2026-09-22T00:55:16;2026-09-21T11:42:09;VALIDE;9b1772eb-b078-4556-a68d-1b3c150c3833
823082d1-8c80-4617-8b69-109270f51f3a;débattre infiniment;../fake-data/blob/hipster.txt;2026-09-22T07:44:42;2026-09-21T16:44:57;UTILISE;3862ea9e-955f-4b31-9c2a-c86e47f886d1
19d84cf8-db59-48d7-b96b-ad47b55baa7b;concernant concernant;../fake-data/blob/hipster.txt;2026-09-22T04:34:35;2026-09-21T13:53:44;UTILISE;a7f1d645-6f09-464d-b407-565bcd0f5885
b635661d-5d6f-4c4c-8ec7-e5763dafa29d;délégation désigner rectangulaire;../fake-data/blob/hipster.txt;2026-09-22T05:32:06;2026-09-21T11:59:11;UTILISE;b5644f54-d8dd-4a36-a224-13b83db7e420
a1b0dad1-8fbb-4df8-9004-f553c2b94826;devant;../fake-data/blob/hipster.txt;2026-09-21T13:38:37;2026-09-21T12:00:17;UTILISE;57439d89-49d4-490d-999b-9b3ce932d2db
4979922a-b672-4c28-8743-6ab534dd0749;ici tsoin-tsoin;../fake-data/blob/hipster.txt;2026-09-21T21:13:22;2026-09-21T18:35:39;ANNULE;c953f712-05c6-4e75-828e-7dd759dd0618
060478d4-9be7-46b8-9d25-6b7e6d4fbd63;alentour à travers;../fake-data/blob/hipster.txt;2026-09-22T00:35:52;2026-09-22T03:44:54;UTILISE;10b3621b-c54d-4afb-8469-83a85220f40b
296e111f-00e9-4310-ab69-582708366ccb;à défaut de gai contre;../fake-data/blob/hipster.txt;2026-09-21T10:21:04;2026-09-21T12:24:29;ANNULE;9ba1d688-e0d1-44ed-bdc7-7cb1c6ea02f3
441d4af5-2203-42ea-8d69-c2bbb38da15f;rose;../fake-data/blob/hipster.txt;2026-09-22T02:44:42;2026-09-21T13:25:40;EXPIRE;a341b1b1-ef1f-42d6-99b0-9d980e154138
6f1ecbc4-4e1d-47dc-983a-9ff86e01adac;en faveur de;../fake-data/blob/hipster.txt;2026-09-21T12:50:35;2026-09-21T17:27:54;VALIDE;9a250185-2d79-40d7-8c49-068fa0f91a98
