id;date_debut;date_fin;partenaire_id;service_id
5ea8653c-dd07-4441-8d39-28884550bcb0;2026-09-21;2026-09-22;8721c22a-0fe6-4aba-92bb-8f230d987f7b;5ff184bc-1a58-4db4-98c9-9b9da9f98040
c6ac8b4e-b92c-4b90-9754-d89f529a0ff0;2026-09-21;2026-09-21;8e545e16-7b7f-4c4a-9646-d93bb88b5731;61b4ed90-ce16-4ae6-bfe0-c8a1d538b2fc
db03268b-b105-45b9-a1e2-90014465503c;2026-09-21;2026-09-22;2a41f7f7-4b51-42f8-84e3-547b16e61a02;04c1aae6-0d73-4897-ac47-868aa0fca263
d267cb3b-c32c-43d4-a1fa-b0ab0dfed23f;2026-09-22;2026-09-21;15872064-7ef5-485c-9391-5ade02d42e7e;34f95ed9-a3f0-4db4-8d0f-9614ab5f1794
7ef0842e-a35b-4d27-9d27-1797fc33bb38;2026-09-21;2026-09-21;88c648cf-0565-419f-ae62-ae8b30c288b9;26506060-abd6-43c2-88eb-50e1fbc4ff8a
08400e2f-61ed-48f9-8815-c17efb425d28;2026-09-22;2026-09-22;c4e9a72e-8ca3-4928-a6c9-7eb22711136a;ac1103e6-e518-4599-be0f-a9528e221838
af50aed5-103e-4766-9931-d5827fd574db;2026-09-21;2026-09-21;96566a16-de03-48c2-a457-d50381da416c;903fd36c-37ed-4514-b12d-3e454a87f384
8f736a85-574e-4c41-a286-7cd68f80b8c4;2026-09-22;2026-09-21;411f0460-778f-4ae4-bb13-c4dae22f782c;1c343000-cc3d-4c61-af65-ac8e36758da7
6fa4e680-08ce-4250-8d25-d1a2b03eef36;2026-09-21;2026-09-21;d88cba5d-034b-4e21-a46b-fde55214fc45;3dd85a69-726c-488b-a320-c3550efec798
63515702-7d44-45db-9278-50b7dee6f10a;2026-09-22;2026-09-21;1190c803-a4b4-42f1-9201-5e64c19b1c3d;9486d915-357a-4ccb-978d-97404a548768
77d64208-40a9-4273-a921-c5d6ab7ddac0;2026-09-21;2026-09-21;8ca7a4d1-6dee-4436-82d5-f85cca0ef86b;92f7e527-9c20-48bd-bbd9-28c345acdfa0
58cc8553-9b5b-46ef-a900-732f3887e355;2026-09-22;2026-09-21;0241e27a-5675-44fc-8d20-9d797896c583;f51925b5-996b-4248-84de-ad1147e8d20f
bbce1f90-a306-42f7-b205-25b3f520f83e;2026-09-22;2026-09-21;5663016f-f253-4773-98e5-579a70503dae;f098ff35-e582-47f2-aa5c-c1b933177266
2ba03430-c92d-4d04-ad35-7fbf956756e7;2026-09-22;2026-09-22;863ac395-40d6-464b-9ae8-dba000bb7406;80c8d1f4-734b-4340-8e0e-e23ed8a4dbea
e6f5473c-2346-4214-8922-f77271783609;2026-09-21;2026-09-21;b1363ccd-6c0b-4f4d-aa3a-b93a82bd1d3e;b2d353f9-cd9c-4636-9737-d40be4cb774c
df0cebd4-ac30-46c2-a64f-db7d50b78116;2026-09-21;2026-09-22;ff2ee911-4da3-4852-b201-abe3ca33c7ff;c455b998-e54f-4c44-b2b9-33ca4b467aa6
91809a80-3159-40fc-b3b1-f88d7794cb1b;2026-09-21;2026-09-21;d310541d-623d-4872-88fc-c357dee78c3a;6ea3b33b-648c-4eb4-b9bd-f10b31de9027
6d14ce51-eac3-4c3a-8382-06e964c6a0b5;2026-09-21;2026-09-21;090fc446-7ac6-4e97-8e65-01781ce379b8;8d566293-f3a1-40c1-a3c5-7542c4f083ec
27517044-fa64-4c53-8960-23ba8a722736;2026-09-21;2026-09-21;27781f5d-b75a-414e-8e3a-44fc6665b4b1;115f5b61-ff6f-4590-af39-ce22d8ba4540
0fe56dc9-3873-496f-8252-9255c2383eb3;2026-09-21;2026-09-22;6854478c-e7e3-4b0b-bbc0-36d0daced75f;ec41a651-ec34-42de-9a1a-c24a731cbe16
